Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
B_smart,40956092.0,"Liechtenstein, Gamprin, Gamprin-bendern, 2 Industriestrasse, 9487",https://www.linkedin.com/company/b-smart-selection,www.b-smarts.net,"Die b_smart selection verfolgt einen smarten Ansatz des Hotelmanagements. Self Check-in, smarte Prozesse für Gäste und Mitarbeiter.  Das über Jahre hinweg bewährte Konzept überzeugt unsere Gäste genau so wie Mitarbeiter und Investoren.",Liechtenstein,40.956092,,,
Hotel Kommod Liechtenstein,4405338.0,"Liechtenstein, Ruggell, 14 Industriering, 9491",https://www.linkedin.com/company/kommod-li,www.kommod.li,"3-star superior kommod hotel in Ruggell, Liechtenstein. Business hotel for conferences, seminars and events. Plan your next seminar or conference at the unique kommod in Ruggell! As a kommod hotel, we see ourselves as a hotspot for communication in business, as a conference hotel for seminars and events, as an ideally accessible conference venue for events and, of course, as a perfect hotel with a restaurant. Here in Ruggell, where the four countries Liechtenstein, Switzerland, Germany and Austria are uniquely close, the future of business can be perfectly discussed, presented, communicated, inspired and learnt!  We bring people in business together with joy and ambition:  Organise your next seminar or business event at the business hotel kommod, in Liechtenstein, we are brilliantly accessible from Switzerland, Austria and Germany. Enjoy our magnificent Parklusiv Lounge with event location on the top floor.  Experience fun and variety during breaks or after the business day on our large golf putting range on the roof. Continue the day's thoughts in a relaxed atmosphere and recharge your batteries for even more activity in your business! Mind and body and a modern business environment make you hungry for fitness for business: jog or skate along the Alpine Rhine, just 300 metres away. Relax with your business partners and employees and marvel at the view of the high peaks of 3 countries over a drink!   Enquire now!",Liechtenstein,4.405338,,,
Griffin's Pub,2804172.0,"Liechtenstein, Balzers, 9496",https://www.linkedin.com/company/griffinspub,www.griffins.pub,"Viele hegen den Traum von einer eigenen Bar. Elf Freunde aus Balzers haben sich diesen Traum erfüllt und haben am Freitag 3. März 2017 ein Pub in Balzers eröffnet. Ob für ein Feierabendbier, einen Fussballmatch oder einfach nur um den Abend mit Freunden zu verbringen und gemütlich zusammen zu sitzen – genau das ist das neue Griffin’s Pub! Das Pub bietet für alle etwas: Appenzeller Quöllfrisch und Guinness vom Fass, verschiedene internationale Biere und feine Snacks. Ausserdem wird es sportlich: Auf drei Flatscreens zeigt das Griffin’s Pub regelmässig Sportübertragungen aller Art. Zudem ist das Pub mit einer kleinen, aber feinen Bühne ausgestattet, welche Platz für zwei bis drei Musiker bietet. Jeweils am letzten Samstag im Monat ist daher «Livemusic at Griffin’s Pub» angesagt. Das genaue Programm wird immer aktuell hier und auf Facebook veröffentlicht.",Liechtenstein,2.804172,,,
CONERUM AG,2517336.0,"Liechtenstein, Gamprin, Gamprin-bendern, 2 Industriestrasse, 9487",https://www.linkedin.com/company/34609263,www.conerum.com,"Sie möchten eine Hotelimmobilie im Fürstentum Liechtenstein oder in der Schweiz kaufen, verpachten, vermieten oder verkaufen? Wir unterstützen Sie dabei umfassend: von der Standortanalyse und Machbarkeitsstudie über die Betreiber- und Investorensuche bis hin zur Bauberatung und Übergabe der Immobilie. Warum CONERUM? Weil wir erfahrene Hoteliers sowie ausgewiesene Experten für Hotelinvestments, Betriebsübernahmen und für Nachfolgelösungen sind. Unsere Leistungen im Überblick: - Standort- und Bestandsanalyse - Strategie und Konzepterarbeitung - Wirtschaftlichkeitsberechnungen - Immobilienentwicklung - Betreibersuche - Investorensuche - Finanzierungsberatung Kontaktieren Sie uns für ein unverbindliches Gespräch.",Liechtenstein,2.517336,,,
Zleeping Hotels,718527.0,"Liechtenstein, Vaduz, Vaduz",https://www.linkedin.com/company/zleeping-hotels,www.zleepinghotels.com,"What do you long for? Choose for yourself what country you want to travel to, what city you want to stay in, and which hotel you want to book. Decide when you want to travel, what you want to do, and for how long you want to stay. Are you looking for high temperatures, sea, and beaches, or the pulse of the big city, famous sights, or new ground? Lay out your own route – the world is yours to discover, what do you want to experience? On zleepinghotels.com, when it’s time to book your stay, you’ve got access to more than 80,000 hotels at more than 1500 destinations in more than 120 countries. Directly book your hotel at the destination you’re considering, or find inspiration to new experiences in the reviews in our ZleepAdvisor, giving you tips and advice about appreciated hotels and destinations.",Liechtenstein,0.718527,,,
Hotel Turna Malbun,718527.0,"Liechtenstein, Triesenberg, 55 Im Malbun, 9497",https://www.linkedin.com/company/hotelturna,www.turna.li,"Das Sport- und Naturhotel Turna befindet sich mitten in den Liechtensteiner Bergen. Auf 1600 Metern über dem Meeresspiegel kommen Sie in der Feriendestination Malbun an. Ruhesuchende, Familien und Naturfreunde finden im 3 Sterne Superior Hotel ihr Urlaubsparadies. Wir laden auch Sie herzlich zu uns nach Malbun ein!",Liechtenstein,0.718527,,,
Liechtensteiner Hotel- Und Gastronomie Verband LHGV,629334.0,"Liechtenstein, Vaduz, 2 Herrengasse, 9490",https://www.linkedin.com/company/liechtensteiner-hotel-und-gastronomie-verband-lhgv,www.lhgv.li,"Über den Verband Der Verband ist im Öffentlichkeitsregister als privatrechtlicher Verein eingetragen. Aktuell sind über 90 Betriebe Mitglied. Wir führen den Verein mit schlanker Verwaltung, um möglichst viele Mittel innovativ, kreativ und projektbezogen in und für unsere Branche investieren zu können.  Die wesentlichen Ziele sind:  eine gesunde und nachhaltige Gastronomie-, Tourismus- und Freizeitwirtschaft zu fördern, wir sind aktiv beim Erreichen der Klimaschutzziele, der Ziele zum Erhalt der Artenvielfalt und der Förderung einer nachhaltigen Hospitality Branche, wir setzen uns das ergeizige Ziel: Klimaneutralität der Hotel- und Gastronomie 2035, die Aus- und Weiterbildung im Bereich der Gastronomie sowie der Tourismus- und Freizeitwirtschaft zu fördern, wir organisieren den Wirtevorbereitungskurs in Zusammenarbeit mit Bildung auf Kurs, Fragen, die sich auf das Verhältnis zwischen Arbeitgebern und Arbeitnehmern und Lehrlingen beziehen, einheitlich zu behandeln und zu regeln  die Zusammenarbeit von Arbeitgeber und Arbeitnehmer zu fördern und qualifizieren, die Zusammenarbeit mit Liechtenstein Tourismus, den Gemeinden und der Regierung und der öffentlichen Verwaltung in Fragen der Gastronomie sowie der Tourismus- und Freizeitwirtschaft zu fördern, die Zusammenarbeit mit anderen Wirtschaftsverbänden zu fördern,  die Liechtensteiner Hotelsterne-Klassifikation durchzuführen, nach den Richtlinien der HSU, die Liechtensteiner Ferienwohnung-Klassifikation durchzuführen, nach den Richtlinien des Schweizer Tourismus Verbandes Wir legen eine gemeinsame LHGV Geschenkkarte auf, um Umsätze für unsere Betriebe zu generieren und einen gemeinsamen Auftritt zu haben, Wir organisieren gemeinsame Werbeauftritte wie z.B. unserer Gesichter der Branche, oder Informationskampagnen wie z.B. wieso wir die Dienstleistung",Liechtenstein,0.629334,,,
Bucoli,629334.0,Liechtenstein,https://www.linkedin.com/company/bucoli,www.buco.li,Faites vous la Belle de Paris le temps d'une escapade en pleine forêt.,Liechtenstein,0.629334,,,
