Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Cashcloud SA,1886826.0,"Luxembourg, Luxembourg, Luxembourg",https://www.linkedin.com/company/cashcloud-ag,www.cashcloud.com,"Cashcloud has developed a unique mobile Wallet application. The mobile Wallet app was first launched in 2012 as a beta version and in October as a full version. In April 2015 the Wallet app got a complete new design and interface. The app allows safe and fast online payments, offline payments via NFC technology, real-time money transfer from person to person, coupons received directly in the app, the ability to earn money via a virtual currency, a parental sub-account for cost control and much more. The strategic alliance with PPRO Financial Limited, Principal Member of MasterCard rounds off the offering with a prepaid MasterCard and an NFC sticker. Cashcloud operates an open, neutral and integrated platform that is totally independent of banks, mobile network operators, and device manufacturers and works smoothly on IOS and Android operating systems.   The cashcloud all-in-one mobile wallet solution sets innovative standards and has already received numerous international awards including the BankingCheck Award, the FinTech Innovation Award, and the Banking IT-Innovation Award.",Luxembourg,1.886826,,,
Colossos,2992595.0,"Luxembourg, Luxembourg, Luxembourg",https://www.linkedin.com/company/colossoscrypto,colossos.peek.link,"At Colossos, we believe in empowering individuals through simplified crypto access, fundamentally changing the way you control your financial destiny.  Our mission? Democratize crypto, placing the power firmly back in your hands. What is Colossos? Think of us as a fusion of a neo bank and a crypto exchange, offering crypto-friendly money accounts to both personal investors and businesses within the European Economic Area. Our services: Crypto-friendly IBANs: Seamlessly send and receive euros using SEPA transfers. Crypto Wallet: Manage and transact with 35+ cryptocurrencies effortlessly. Crypto Exchange: Buy, sell, and swap your assets at your convenience. Debit Card: Enjoy the flexibility of accessing your funds with ease. We are regulated: Our team operates from Luxembourg and Lithuania. Banking services:  Colossos Payments UAB: In partnership with Modulr Finance B.V., a registered company in the Netherlands, authorized and regulated by the Dutch Central Bank (DNB) as an Electronic Money Institution (Firm Reference Number: R182870). Your funds are held in segregated accounts, ensuring full compliance with the Financial Supervision Act. Crypto services:  Colossos Digital Assets UAB: Registered by the State Enterprise Centre of Registers of the Republic of Lithuania as a provider of virtual currency exchange and virtual currency wallet services. Join the movement: Become part of a community that values financial freedom. Join over 3,000 individuals on our waitlist and be among the first to receive an invitation to open your Colossos account in 2024. Rise as a Colossian. Your financial empowerment begins here. 💛",Luxembourg,2.992595,,,
Credovita S.A.S.,1257884.0,"Luxembourg, Luxembourg, Luxembourg, 29 Boulevard Grande-duchesse Charlotte, 1331",https://www.linkedin.com/company/credovita,,"Credovita is a FinTech infrastructure startup focused on agency banking and business service headquartered in Luxembourg with field operations in emerging markets such as the Philippines.  Our main product offering is the Credovita NanoBranch that serves as an agency banking point for end-users in hard to reach areas to be served by traditional banking services and other business service providers such as fintechs.  Credovita was founded in January 2018 backed by a team of finance and economics majors, as well as a professionally experienced Chief Technical Officer.  Since our founding we've been gaining traction with our win at the prestigious 2018 MIT Global Startup Workshop hosted in Bangkok, Thailand, and in October 2018, Credovita was accepted into the Autumn 2018 batch of the Luxinnovation Fit4Start Accelerator Program.  We believe in the value of building and fostering long term relationships with the traditional banking sector and bring sustainable innovation to the greatest number of individuals, and we would only be able to do this with institutions such as traditional finance and lending institutions to act as anchor points in the Credovita System Our small startup's big dream in a nutshell is encompassed by our mission statement #FreeMarketForGood Learn more about our mission and our journey at credovita.io",Luxembourg,1.257884,,,
CREOPAY,1686687.0,"Luxembourg, Luxembourg, Luxembourg, 121 Avenue De La Faïencerie, 1511",https://www.linkedin.com/company/creditcareint,www.creopay.cloud,"CREOPAY è una fintech cloud application sviluppata e di proprieta' di Creopay Sàrl Luxembourg , mentre Creditcare (creopay's group) e' la prima ed unica agenzia europea in grado di fornire servizi fully digital per PMI & Corporate per la gestione della debt - Collection. La Creditcare Srl opera dal 2006, con licenza rilasciata dalla Questura, nel settore della gestione & tele-gestione e recupero del credito per istituti di credito, società di leasing e aziende. I servizi svolti dalla Creditcare Srl sono diretti alla gestione del credito tramite l’utilizzo della piattaforma rivoluzionaria Creopay che garantisce ottimi risultati senza ausilio di operatori ed in tempi brevi, oltre che al sollecito diretto con personale addestrato e coordinato da nostri Responsabili qualificati in continuo contatto con gli uffici gestione clienti e pre-contenzioso dei nostri clienti, tutto full automatic. ed integrabile tramite API.",Luxembourg,1.686687,,,
E-workingcap,1169857.0,"Luxembourg, Luxembourg, Luxembourg",https://www.linkedin.com/company/e-workingcap,www.e-workingcap.com,"We are seasoned fintech entrepreneurs in working capital financing. Since 2012, we have built a full-set of proprietary IT architecture & infrastructure (back-offices, front-offices, partner extranets, monitoring dashboards, and APIs) for B2B working capital financing solutions intended to be distributed by financial institutions. Our proprietary solutions have been used by a wide range of commercial partners (B2B commercial finance brokers, B2B merchants, B2B marketplaces, accounting software, e-invoicing software, etc.), serving 20,000 + end users, processing 200,000+ transactions, and servicing 800 M€+ of financing. Our proprietary solutions have been intended to cover the whole working capital financing journey for all relevant parties - from the end-user onboarding to the reconciliation of the financing, and anything in between. You name it, you look for it, you have it. Our proprietary product range covers the whole spectrum of B2B working capital financing solutions, including: ● B2B digital single invoice factoring ● B2B digital marketplace single invoice factoring ● B2B digital reverse factoring ● B2B 'buy now, pay later' solutions (deferred payments and installment plans) for merchants and marketplaces ● B2B digital working capital loans ● B2B POS working capital financing solutions Our proprietary product range includes dedicated sets of back-offices, front-offices, partner extranets, monitoring dashboards, and APIs. We believe that fintech solutions can scale when they are embedded in traditional financial institutions' networks. We believe in our proprietary tech-driven agility. We believe in the brand awareness and the depth of the commercial networks of our partners. We believe in the combination of powers at play.",Luxembourg,1.169857,,,
Ekofolio,1886826.0,"Luxembourg, Luxembourg, Luxembourg, 18 Rue Du Laboratoire, l-1911",https://www.linkedin.com/company/ekofolio,www.ekofolio.com,"We are a mission-driven fintech company headquartered In Luxemborg, enabling global forest assets to be investable and liquid. Globally, forests are a US$100+B investment market, currently available to  institutional investors such as Pension Funds, Family Offices and high net-worth individuals. Our vision is to facilitate the growth of this specialty sector towards a trillion-dollar, dynamic, transparent and liquid global market for natural capital assets – where institutional and retail investors can participate on comparable terms. To achieve this, we are building a revolutionary platform utilising blockchain technology to enable ‘fractionalisation’ of forest ownership – an approach which radically reduces transaction costs, and reinvents the way such assets will be invested in and traded.",Luxembourg,1.886826,,,
Estating,11941236.0,"Luxembourg, Luxembourg, Luxembourg, 4 Rue Du Fort Wallis, l-2714",https://www.linkedin.com/company/estating,www.estating.com,"Estating is the first Fintech platform purpose-built to embed curated real estate opportunities into wealth management portfolios — bankable, compliant, and advisor-led. By owning the full institutional-grade value chain, from sourcing to structuring, issuance, and lifecycle servicing, we deliver a seamless solution that transforms illiquid opportunities into custodial-grade securities.  Our vertically integrated model ensures continuity, control, and trust — empowering advisors, wealth platforms, and family offices to deliver private market access without operational burden.   With operations across Europe, the Americas, and a growing global footprint, Estating is redefining real estate as a core managed asset class for the regulated wealth ecosystem.",Luxembourg,11.941236,,,
Finmars,6918362.0,"Luxembourg, Luxembourg, Luxembourg, 9 Rue Du Laboratoire Lhoft, l-1911",https://www.linkedin.com/company/finmars,finmars.com,"What if financial infrastructure were open by default — transparent, modular, secure, and collaborative? Finmars is Europe’s first open-source platform designed for the future of Open Finance. We help financial institutions and fintechs streamline data workflows, automate regulatory reporting, and scale with confidence through a modular, community-driven ecosystem. 🔸 Streamline processes and automate data workflows 🔸 Marketplace architecture to scale community innovation 🔸 Adopt AI co-pilots for scalable innovation 🔸 Ensure data security and trust by design 🔸 Stay aligned with EU regulatory frameworks With full transparency, API-first design, and a security-first approach, Finmars lets you build in minutes — with zero vendor lock-in and full control. 🌍 Built in Luxembourg. Committed to a sovereign and secure Open Finance worldwide.",Luxembourg,6.918362,,,
Finologee,28281875.0,"Luxembourg, Leudelange, 7 Rue Jean Fischbach, 3372",https://www.linkedin.com/company/finologee,finologee.com,"Finologee is one of Luxembourg’s prime digital finance platform operators, facilitating the financial industry’s quest for optimisation and innovation with its compliant platforms and APIs for bank payments (PSD2 for Banks, CEDRS & Digicash), telecom routing/micropayments (Mpulse), KYC/authentication (KYC Manager), and multi-bank and accounts management (LYNKS). The company is serving more than 100 banks and institutions, handles hundreds of millions of transactions on their behalf and its founders have been continuously paving the way for FinTech ‘made in Luxembourg’ since 2006. Finologee is based in Leudelange, Luxembourg. Company web site: https://finologee.com  Careers page: https://jobs.finologee.com",Luxembourg,28.281875,,,
Finvx.io,1257884.0,"Luxembourg, Mamer, 2c Parc D'activités Capellen, l-8308",https://www.linkedin.com/company/finvextech,finvx.io,"Revolutionizing Private Credit: Smarter, Faster, Non-Dilutive Capital for High-Growth Businesses. The New Alternative to VC & Traditional Banking. Finvx.io is transforming business finance by bridging the gap between private credit investors and scaling companies—providing fast, structured capital without dilution and without banking delays. The Problem: Startups & Growing Businesses Need Smarter Capital 🚨 Slow Payments & Cash Flow Gaps: The European Central Bank reports businesses wait 65+ days for payments. Delayed revenue hinders growth, payroll, and expansion. 🚨 Bank Lending is Shrinking: Traditional banks are retreating from SME lending due to strict regulations. 🚨 VC Funding = Dilution: Venture capital is an equity trade-off, often demanding unrealistic hypergrowth. High-growth businesses need capital—but they need it on better terms. The Finvx Solution: Private Credit + Fintech for Fast, Smart Funding 🔹 Fast, Flexible Private Credit: We connect businesses with investors, providing capital without giving up equity. 🔹 Securitization Unlocks Liquidity: We turn illiquid assets (invoices, receivables, trade finance) into investable securities. 🔹 AI-Driven Risk Insights: Proprietary models assess creditworthiness in real-time, reducing risk for investors. 🔹 No Collateral, No Bank Delays: Businesses access working capital within days, not months. Why Finvx.io? ✅ Private Credit, Reimagined: Faster, tech-driven capital for businesses. ✅ Investors Earn Predictable Returns: Structured 9-12% yields in a high-demand market. ✅ Founders Stay in Control: Growth funding without giving up equity. ✅ SPV Securitization Model: True-sale transactions create a secure, transparent investment framework. 💡 Venture Capital isn’t the only option. Banks are outdated. 📢 We’re building the new frontier of startup & mid-market funding. 📩 Join the future of Private Credit. Explore opportunities at https://finvx.io 🚀 Invest. Fund. Scale. Smarter. #PrivateCredit",Luxembourg,1.257884,,,
