Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Deutsche Kreditbank AG,153386238.0,"Germany, Berlin, Berlin",https://www.linkedin.com/company/plilend,www.dkb.de,"Seit unserer Gründung 1990 als Deutsche Kreditbank stehen wir für unseren Namen. Kredite für Deutschland. Für alles, was der Mensch zum Leben braucht. Unser Anspruch: #geldverbesserer zu sein. Wir investieren konsequent über 80% unserer Bilanzsumme für Kommunen, Unternehmen und Haushalte in Deutschland. Die DKB ist Macherin der Energiewende - seit über 20 Jahren als größte Kreditgeberin. Statt kurzfristig Gewinne zu maximieren, sorgen wir langfristig für Unterstützung. Zum Beispiel mit individuellen Finanzkonzepten für den Bau von Kitas, Pflegeheimen, Krankenhäusern und bezahlbarem Wohnraum. Heimischen Landwirten stehen wir mit Rat, Tat und Krediten zur Seite. Somit übernehmen wir nachhaltige Verantwortung für das Land und die Menschen.",Germany,153.386238,,,
DKB | Deutsche Kreditbank AG,65525997.0,"Germany, Berlin, Berlin, 7-9 Taubenstraße, 10117",https://www.linkedin.com/company/dkb,www.dkb.de,"Viele Banken wissen gar nicht, wofür sie eigentlich stehen – wir schon! Seit unserer Gründung 1990 als Deutsche Kreditbank stehen wir für unseren Namen. Kredite für Deutschland. Für alles, was ein Mensch zum Leben braucht. Unser Anspruch: #geldverbesserer zu sein. So war riskantes Investment-Banking noch nie eine Option für uns. Und wird es auch nie sein. Schon heute tragen wir mit über 52 Mrd. EUR (= ca. 73% unserer Kredite an Geschäftskund*innen) signifikant zu den Sustainable Development Goals der UN bei. Mehr als 5,2 Mio. Kund*innen vertrauen auf unsere Leistungen und empfehlen uns gern weiter. Denn unsere über 5.000 Mitarbeitenden reden nicht nur über Herausforderungen wie bezahlbarer Wohnraum, saubere Energie, Bildungsvielfalt, lebenswerte Kommunen und flächendeckende medizinische Versorgung und Pflege, sondern packen die Dinge an und machen sie besser. Im Ergebnis sind wir eine der nachhaltigsten unter den Top-Banken in Deutschland. Um sicherzustellen, dass wir die Bedürfnisse unserer Geschäftskund*innen verstehen, arbeiten in unseren Teams Branchen- und Bankfachleute zusammen. Mit lokaler Expertise entwickeln wir spezifische Lösungen und betreuen sie an ihrem Standort bei Zahlungsverkehr, Geldanlage und Finanzierungsfragen. Unser Versprechen: Wir bieten ausschließlich Leistungen und Services, an die wir auch selbst glauben. DKB. Das kann Bank.",Germany,65.525997,,,
Smarta Steuerberatung,10835385.0,"Germany, Saxony, Leipzig, 18 Pfaffendorfer Str., 04105",https://www.linkedin.com/company/smarta-steuerberatung,www.smarta-steuern.de,"Die smarta Steuerberatung ist perfekt für Freiberufler und Selbständige, die sich lieber aufs Business konzentrieren, statt auf Steuerkram. Alle Steuerthemen und die Finanzbuchhaltung werden von echten, qualifizierten Menschen übernommen – von der Finanzbuchhaltung bis zur geschäftlichen und privaten Steuererklärung.  So geht zeitgemäße Steuerberatung für das 21. Jahrhundert.",Germany,10.835385,,,
Kontist,9415010.0,"Germany, Berlin, Berlin, 98b Kastanienallee, 10435",https://www.linkedin.com/company/7794118,kontist.com,"We believe freelancers will shape the future of work, challenging corporate structures, embracing individuality and building successful businesses. Today freelancers don’t get the help they need, in particular when it comes to the complexity of their finances. Kontist provides the banking services freelancers deserve, making finances easy. Banking: powered by Solaris! / Wir glauben, Freelancer gestalten die Arbeit von morgen, indem sie alte Unternehmensstrukturen aufbrechen und Individualität mit erfolgreichen Geschäftsideen verbinden. Trotzdem werden Freelancern in Bereichen Banking und Buchhaltung heute noch viele Steine in den Weg gelegt, was den administrativen Aufwand in der Selbstständigkeit unnötig kompliziert. Mit Kontist entwickeln wir ein Konto speziell für Freelancer, das Klarheit in den Finanzdschungel bringt. Banking: powered by Solaris!",Germany,9.41501,,,
Fidor Bank AG,8962846.0,"Germany, Bavaria, Munich, 33 Sandstr., 80335",https://www.linkedin.com/company/fidor-bank-ag,www.fidor.de,"Wie alles begann, Im Jahr 2009, mitten in der Finanz- und Bankenkrise, erhielt die Fidor Bank AG ihre Vollbank-Lizenz. Die ursprüngliche Gründungsidee war, die sich im Netz vermehrt abzeichnenden Web-2.0-Verhaltensweisen in den Bereich der Finanzdienstleistung zu übertragen. Die Finanzkrise gab der Gründungsidee eine ungewollte aber willkommene Schärfe und Brisanz. Transparenz, Integration, Offenheit und vieles mehr waren nun nicht mehr ""nur"" Beiwerk eines neuartigen Ansatzes, sondern zwingende Notwendigkeit.  Das Internet als neues Transaktionsmedium Auch wenn die Welt der Finanzen aufgrund der Krise in einer Schockstarre verharrt, geht das Leben – vor allen Dingen im Internet – weiter. Aus einem Informationsmedium wurde ein Transaktionsmedium. Die nun heranwachsenden Menschen nennen wir ""digital natives"", weil sie ein Leben ohne Internet nicht kennen. Damit einher geht die Entwicklung des sogenannten ""digitalen Lebensstils"". Dieser digitale Lebensstil bricht alte Traditionen auf und verändert ganze Industrien und Nationen nachhaltig. Als Fidor Bank haben wir Respekt vor dieser Entwicklung und sehen auch im Bereich der Finanzdienstleistungen die Notwendigkeit zur Veränderung. Datenschutzbestimmungen: https://www.fidor.de/privacy-policy Impressum: https://www.fidor.de/imprint",Germany,8.962846,,,
Bitwala,5551895.0,"Germany, Berlin, Berlin, 75 Am Treptower Park, 12435",https://www.linkedin.com/company/bitwala,www.bitwala.com,"FREEDOM OF TRANSACTION. 💸 Blend tomorrow's money into your daily life and secure your financial independence.  🏦 YOUR IBAN WITH INSTANT BANK TRANSFERS Deposit and withdraw euros to your bank account instantly using your personal IBAN. 🔐 STORE CRYPTO YOUR WAY Send, receive, and store your crypto securely using your biometrics. 🔄 TRADE CRYPTO 24/7 INSTANTLY Buy and sell bitcoin and ether instantly 24/7 with low fees at the best rates. 📈 GROW YOUR WEALTH Invest automatically and reduce risk with daily, weekly and monthly savings plans. 💳 SPEND CRYPTO WITH VISA CARD Pay with crypto and euros anywhere Visa is accepted and withdraw cash at ATMs. 🇪🇺 MADE FOR EUROPE Available for residents in 29 countries across the European Economic Area. 💪 ESTABLISHED 2014. NEVER BEEN HACKED. 4.4 App Store rating 150k downloads €3b transaction volume €500m assets under management Made with 💚 in Berlin.",Germany,5.551895,,,
Pile,5296552.0,"Germany, Berlin, Berlin",https://www.linkedin.com/company/pilecapital,vivid.money,"Pile is Europe's leading Neo Treasurer. It offers treasury products for high growth startups to make most of their money, keep it safe and diversify across multiple banking solutions. We take care of your treasury, while you can focus on building your business. ** Pile’s Treasury Solution was acquired by Vivid Money: https://www.pile.capital/en/blog/articles/vivid-acquires-pile-treasury-solution Since July 2024 Pile customers have found a new home with Vivid Money.",Germany,5.296552,,,
Tomorrow,1440530.0,"Germany, Hamburg, Neuer Pferdemarkt",https://www.linkedin.com/company/18461942,www.tomorrow.one,"Banking for a better future  ⏳Open an account in a few minutes via app 🌱Not a single cent invested in fossil energy 🦓 more than 120,000 customers Bank services by Solaris SE https://www.tomorrow.one/en-de/",Germany,1.44053,,,
3Pace Holding GmbH,2763716.0,"Germany, Saxony, Leipzig, 53 Brüderstraße, 04103",https://www.linkedin.com/company/3pace-development,www.3pace.de,3Pace Holding is a company group based in Leipzig (Germany). 3Pace focuses on the development of disruptive business models in the areas of FinTech and InsurTech. From AI-based withdrawal algorithms to life insurance policy management. Our group offers a wide range of services for B2B and B2C market.,Germany,2.763716,,,
A-Point Partners,1216601.0,"Germany, Berlin, Berlin, 71 Urbanstraße, 10967",https://www.linkedin.com/company/a-point-partners,www.apointpartners.com,"A-Point Partners is a mid-market international advisory firm, founded by a team of professionals with a strong track record in the finance and technology sectors. We leverage our extensive network and industry experience to assist clients with a broad range of services, including strategic modeling, M&A, fundraising, and corporate development activities. Although we are industry-agnostic and have successfully supported companies across various sectors and geographies, our expertise is particularly concentrated in the following areas: - Fintech & Insurtech - Renewables - Infrastructure & Real Estate - Healthcare & Healthtech - Digital Assets & Data Center Operators",Germany,1.216601,,,
