Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Iceland Highlights - Travel Agency,629334.0,"Iceland, Capital Region, Reykjavík, 10 Fiskislóð, 101",https://www.linkedin.com/company/iceland-highlights,www.iceland-highlights.com,"Our story and Mission Iceland Highlights is a travel company located in Reykjavik, Iceland that provides private tour services both for leisure and business travellers. Since 2016, two friends Marius and Tung  and their team have been working hard on a mission to provide private tour solutions with an easy booking procedures, fast customer service and memorable travel experiences. According to TripAdvisor, we are on the right path :)  We believe that providing quality service is a core source of memorable adventure. It means that our services and companies that we partnership with, provides professional and reliable service all year around. We offer privately guided day tours, self driving packages and concierge services.",Iceland,0.629334,,,
Block Island Experience,543649.0,Iceland,https://www.linkedin.com/company/block-island-experience,www.blockislandexperience.com,"Island Experience is Block Island's only travel consultancy offering concierge and travel planning services on Block Island, RI. From restaurant reservations to a months stay, if it is anything Block Island, Island Experience is the place to call. Island Experience will plan your honeymoon, couples escape, corporate retreat, family reunion or class trip. We can stock your pantry, book your hotel or home rental and offer assistance throughout your vacation.",Iceland,0.543649,,,
TOM-RICHARDS CONSULTING,629334.0,Iceland,https://www.linkedin.com/company/tom-richards-consulting,www.tomrichardsconsulting.com.ng,TOM-RICHARDS CONSULTING is the new peer to peer jobs and errands concierge services for linking people in need with people with ability,Iceland,0.629334,,,
Reykjavik Concierge,416448.0,"Iceland, Capital Region, Reykjavík",https://www.linkedin.com/company/reykjavik-concierge,reykjavikconcierge.com,"Specializing in the luxury and corporate market, our business consists of personalized and friendly service. Our highly specialized concierge staff is dedicated to providing a quality of service. We provide a large variety of helpful services at competitive prices and we are available around the clock to assist you with every need when travelling to Reykjavik and the rest of Iceland. Our experienced Concierges are always up to date with the latest in travel, hotels, luxury ground transportation, shopping, restaurants and nightclubs and will give you the best recommendations to make your stay memorable.",Iceland,0.416448,,,
TourDesk,5977703.0,"Iceland, Capital Region, Reykjavík, 5 Lækjartorg, 101",https://www.linkedin.com/company/tour-desk,www.tourdesk.io,"TourDesk is a comprehensive tour-booking service for resellers. It brings a new source of revenue, increases your service level, and reduces the workload on your front desk and back office. Bringing ancillary revenue for hotels and other resellers goes hand in hand with providing guests a better service, as the resellers can offer them relevant tours and activities. TourDesk offers two main features:  • The Agent System, used by the front desk staff as a point-of-sale. The Agent System allows the front desk and/or concierge to easily and securely identify, book, and confirm a tour for a guest standing in front of them.  • The Sales Portal, used by guests to plan their adventures. TourDesk creates a customised Sales Portal that you can share with your guests so they can book on their own. For suppliers, TourDesk offers increased visibility and simplified accounting. TourDesk also offers easy connectivity and connects directly to most major booking systems in the world. No booking system? No problem - TourDesk supports all types of suppliers. TourDesk has a vested interest in increasing your revenue!",Iceland,5.977703,,,
